Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC part #
,,,,,,
2u2,Capacitor SMD 0603,"C1, C2, C7",CAP_0603,CAP_0603,3,C23630
22u,Capacitor SMD 0805,"C3, C4",CAP_0805,CAP_0805,2,C45783
10p,Capacitor SMD 0402,"C5, C6",CAP_0402,CAP_0402,2,C32949
100n,Capacitor SMD 0402,"C8, C9, C10, C11, C12, C14, C15, C16",CAP_0402,CAP_0402,8,C1525
2.2u,Capacitor SMD 0603,C13,CAP_0603,CAP_0603,1,C307463
10n,Capacitor SMD 0402,C17,CAP_0402,CAP_0402,1,C15195
2n2,Capacitor SMD 0402,C18,CAP_0402,CAP_0402,1,C1531
GREEN,LED 0402 GREEN SMD,D1,LED_0402_GREEN,LED_0402_GREEN,1,C130723
RED,LED 0402 RED SMD,D2,LED_0402_RED,LED_0402_RED,1,C74339
120R,Ferrite Bead SMD 0603,FB1,FB_0603,FB_0603,1,C42102
473460001,CONN RCPT USB2.0 MICRO B SMD R/A,J1,FP-473460001-MFG,CMP-2000-05246-2,1,C132560
SM06B-GHS-TB,Header Connector 6 Position 1.25MM Pitch SMD Horizontal JST GH,J3,SM06B-GHS-TB,SM06B-GHS-TB,1,
1k,Resistor SMD 0402,"R1, R5",RES_0402,RES_0402,2,C11702
0R,Resistor SMD 0402,R2,RES_0402,RES_0402,1,C21376
2k2,Resistor SMD 0402,"R3, R4",RES_0402,RES_0402,2,C25879
10k,Resistor SMD 0402,"R6, R7",RES_0402,RES_0402,2,C25744
AMS1117-3.3,"LDO Voltage Regulators 1A, 3.3V",U1,FP-AMS1117-IPC_C,CMP-209535-000001-1,1,C6186
STM32F411CEU6,"ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB RAM, 36 I/Os, 48-Pin UFQFPN, -40 to 85 degC, Tray",U2,STM-UFQFPN48_L,CMP-0243-00165-1,1,C60420
MPU-6050,"3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel",U3,IS-QFN-24_V,CMP-1753-00002-2,1,C24112
24MHz,Crystal SMD 24MHz 10PPM 7pF 3225,X1,XTAL_3225,TSX-3225_24.0000MF15X-AC,1,C9006
