Designator,Comment,Layer,Footprint,Mid X,Mid Y,Rotation,Description
U3,MPU-6050,Top,IS-QFN-24_V,88.3,91.05,270,"3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel"
X1,24MHz,Top,XTAL_3225,86.75,77,0,Crystal SMD 24MHz 10PPM 7pF 3225
U2,STM32F411CEU6,Top,STM-UFQFPN48_L,96.218,81.661,0,"ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB RAM, 36 I/Os, 48-Pin UFQFPN, -40 to 85 degC, Tray"
U1,AMS1117-3.3,Top,FP-AMS1117-IPC_C,102,67.25,270,"LDO Voltage Regulators 1A, 3.3V"
R7,10k,Top,RES_0402,105,93.5,0,Resistor SMD 0402
R6,10k,Top,RES_0402,95.5,88.75,270,Resistor SMD 0402
R5,1k,Top,RES_0402,102.25,78,0,Resistor SMD 0402
R4,2k2,Top,RES_0402,95.75,90.5,180,Resistor SMD 0402
R3,2k2,Top,RES_0402,97.75,90.5,0,Resistor SMD 0402
R2,0R,Top,RES_0402,88.5,81,0,Resistor SMD 0402
R1,1k,Top,RES_0402,109.8,69.1,270,Resistor SMD 0402
J3,SM06B-GHS-TB,Top,SM06B-GHS-TB,90.25,63.5,0,Header Connector 6 Position 1.25MM Pitch SMD Horizontal JST GH
J2,TC2030-NL,Top,TC2030-NL-FP,104.5,90.75,180,Tag-Connect No-Solder SWD Debug Connector (No Legs) DO NOT PLACE
J1,473460001,Top,FP-473460001-MFG,111.02,82.7,90,CONN RCPT USB2.0 MICRO B SMD R/A
FB1,120R,Top,FB_0603,106.5,80.2,180,Ferrite Bead SMD 0603
D2,RED,Top,LED_0402_RED,102.254,79.473,0,LED 0402 RED SMD
D1,GREEN,Top,LED_0402_GREEN,109.8,66.8,90,LED 0402 GREEN SMD
C18,2n2,Top,CAP_0402,91.75,89.75,90,Capacitor SMD 0402
C17,10n,Top,CAP_0402,84.8,92.3,90,Capacitor SMD 0402
C16,100n,Top,CAP_0402,84.8,90.3,90,Capacitor SMD 0402
C15,100n,Top,CAP_0402,87.55,87.55,180,Capacitor SMD 0402
C14,100n,Top,CAP_0402,102.75,93.5,0,Capacitor SMD 0402
C13,2.2u,Top,CAP_0603,97,76.75,0,Capacitor SMD 0603
C12,100n,Top,CAP_0402,93.75,86.75,180,Capacitor SMD 0402
C11,100n,Top,CAP_0402,101.5,84.75,90,Capacitor SMD 0402
C10,100n,Top,CAP_0402,99.5,76.75,0,Capacitor SMD 0402
C9,100n,Top,CAP_0402,91.25,80.25,270,Capacitor SMD 0402
C8,100n,Top,CAP_0402,91,84,90,Capacitor SMD 0402
C7,2u2,Top,CAP_0603,89.5,84,90,Capacitor SMD 0603
C6,10p,Top,CAP_0402,88.5,79.5,180,Capacitor SMD 0402
C5,10p,Top,CAP_0402,86,79.5,0,Capacitor SMD 0402
C4,22u,Top,CAP_0805,107.25,67.5,270,Capacitor SMD 0805
C3,22u,Top,CAP_0805,102,73.5,180,Capacitor SMD 0805
C2,2u2,Top,CAP_0603,105.75,77.95,90,Capacitor SMD 0603
C1,2u2,Top,CAP_0603,107.25,77.95,90,Capacitor SMD 0603
